distancia;cota
38670.1151804;323.0
38705.7412072;324.0
38741.367234;323.0
38776.9932607;322.007354736
38812.6192875;323.0
38848.2453143;325.0
38883.8713411;327.0
38919.4973679;330.0
38951.5240264;330.0
38983.550685;331.0
39015.5773436;333.0
39047.6040021;334.0
39079.6306607;334.0
39111.6573193;334.0
39143.6839779;335.0
39175.7106364;334.0
39207.737295;337.0
39239.7639536;337.0
39271.7906121;337.0
39303.8172707;338.0
39335.8439293;337.0
39367.8705878;336.0
39399.8972464;336.0
39431.923905;337.0
39463.9505636;337.0
39494.4079102;338.0
39524.8652569;337.0
39555.3226035;337.0
39585.7799501;335.0
39616.2372968;335.0
39646.6946434;334.0
39677.1519901;333.0
39707.6093367;332.0
39738.0666834;333.0
39768.52403;334.0
39798.9813767;333.0
39829.4387233;332.0
39859.89607;331.0
39890.3534166;332.0
39920.8107633;331.0
39951.2681099;332.0
39981.7254565;328.0
40012.1828032;326.0
40042.6401498;326.0
40073.0974965;325.0
40103.5548431;319.0
40134.0121898;319.0
40164.4695364;320.0
40194.9268831;320.0
40225.3842297;320.0
40255.8415764;319.0
40286.298923;319.0
40316.7562696;320.0
40347.2136163;319.0
40377.6709629;316.0
40408.1283096;315.040802002
40438.5856562;315.035583496
40469.0430029;315.03036499
40499.5003495;315.025146484
40529.9576962;317.0
40560.4150428;317.0
40590.8723895;318.0
40622.4466843;320.0
40654.0209792;319.0
40685.5952741;320.0
40717.169569;321.0
40748.7438639;319.0
40780.3181588;317.0
